respondent_id,region,residence_zone,age_group,gender,income_group,education,consumption_frequency,consumer_profile,monthly_consumption_estimate,consumption_intensity,label_importance,label_importance_score,high_label_importance,consumer_knowledge_score,strategic_segment,wine_types__nao_tenho_preferencia_definida,wine_types__vinho_branco_seco,wine_types__vinho_demi_sec,wine_types__vinho_espumante,wine_types__vinho_licoroso_e_ou_fortificado,wine_types__vinho_rose,wine_types__vinho_suave,wine_types__vinho_tinto_seco,purchase_channels__aplicativos_de_delivery_de_bebidas,purchase_channels__diretamente_em_vinicolas,purchase_channels__lojas_fisicas_especializadas,purchase_channels__lojas_online_especializadas,purchase_channels__restaurantes_e_bares,purchase_channels__supermercados,purchase_factors__curiosidade_ou_interesse_por_novos_produtos,purchase_factors__descricao_sensorial_aroma_sabor_estilo,purchase_factors__design_e_informacao_do_rotulo,purchase_factors__preco,purchase_factors__promocoes_ou_descontos,purchase_factors__praticas_sustentaveis_e_ou_impacto_ambiental,purchase_factors__recomendacao_amigos_especialistas_avaliacoes,purchase_factors__regiao_de_origem,purchase_factors__variedade,purchase_factors__vinicola_produtor,sustainable_attributes__clareza_e_transparencia_das_informacoes_no_rotulo,sustainable_attributes__grau_de_inovacao_do_produto,sustainable_attributes__origem_das_uvas_regiao_procedencia,sustainable_attributes__presenca_de_certificacoes_ou_selos_ambientais,sustainable_attributes__preco,sustainable_attributes__qualidade_sensorial_sabor_aroma_equilibrio,sustainable_attributes__sustentabilidade_ambiental_menor_impacto_no_cultivo
73,Região Sudeste,Zona urbana,Acima de 55 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador técnico,4.3,Alta frequência,Extremamente importante,4,1,3,Alta prioridade,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1
74,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1
75,Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador técnico,4.3,Alta frequência,Extremamente importante,4,1,3,Alta prioridade,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0
76,Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Muito importante,3,1,2,Potencial sustentável,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1
77,Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,De 3 a 4 salários mínimos,Ensino médio completo,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0
78,Região Centro-Oeste,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,0.5,Baixa frequência,Extremamente importante,4,1,1,Potencial sustentável,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0
79,Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez a cada 15 dias,Consumidor ocasional,2.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1
80,Região Sudeste,Zona urbana,Acima de 55 anos,Masculino,Acima de 6 salários mínimos,Ensino superior completo,De 4 a 6 vezes por semana,Consumidor ocasional,21.5,Alta frequência,Muito importante,3,1,1,Alta prioridade,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
81,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,1.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1
82,Região Sul,Zona rural,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação incompleta,Raramente,Consumidor ocasional,0.5,Baixa frequência,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,1
83,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação incompleta,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1
84,Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Profissional do setor,4.3,Alta frequência,Muito importante,3,1,4,Alta prioridade,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
85,Região Sudeste,Zona urbana,Entre 26 e 35 anos,Masculino,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
86,Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1
87,Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0
88,Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,De 3 a 4 salários mínimos,Ensino superior incompleto,Raramente,Consumidor ocasional,0.5,Baixa frequência,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
89,Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez a cada 15 dias,Apreciador técnico,2.0,Frequência moderada,Moderadamente importante,2,0,3,Baixa prioridade,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1
90,Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez a cada 15 dias,Consumidor ocasional,2.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
91,Região Sudeste,Zona urbana,Entre 46 e 55 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Extremamente importante,4,1,2,Potencial sustentável,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1
92,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,1.0,Frequência moderada,Muito importante,3,1,1,Potencial sustentável,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
93,Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Moderadamente importante,2,0,2,Baixa prioridade,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0
94,Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1
95,Região Sul,Zona rural,Entre 26 e 35 anos,Masculino,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,1.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0
96,Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,De 3 a 4 salários mínimos,Pós-graduação incompleta,Raramente,Apreciador técnico,0.5,Baixa frequência,Moderadamente importante,2,0,3,Baixa prioridade,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1
97,Região Centro-Oeste,Zona urbana,Entre 18 e 25 anos,Masculino,Prefiro não responder,Pós-graduação completa,Raramente,Consumidor ocasional,0.5,Baixa frequência,Pouco importante,1,0,1,Baixa prioridade,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
98,Região Norte,Zona urbana,Entre 36 e 45 anos,Masculino,Prefiro não responder,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador técnico,10.8,Alta frequência,Extremamente importante,4,1,3,Alta prioridade,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1
99,Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,De 1 a 2 salários mínimos,Ensino superior completo,Raramente,Apreciador interessado,0.5,Baixa frequência,Extremamente importante,4,1,2,Potencial sustentável,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0
100,Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,10.8,Alta frequência,Moderadamente importante,2,0,2,Consumidor frequente tradicional,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0
101,Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,10.8,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1
102,Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,2.0,Frequência moderada,Muito importante,3,1,1,Potencial sustentável,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
103,Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Acima de 6 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
104,Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Extremamente importante,4,1,2,Potencial sustentável,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1
105,Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Acima de 6 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador técnico,4.3,Alta frequência,Extremamente importante,4,1,3,Alta prioridade,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
106,Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Moderadamente importante,2,0,2,Consumidor frequente tradicional,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0
107,Região Sul,Zona urbana,Acima de 55 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1
108,Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por mês,Apreciador interessado,1.0,Frequência moderada,Muito importante,3,1,2,Potencial sustentável,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
109,Região Sul,Zona urbana,Acima de 55 anos,Feminino,De 5 a 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,10.8,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1
110,Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,1.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1
111,Região Nordeste,Zona urbana,Entre 26 e 35 anos,Masculino,De 1 a 2 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,0.5,Baixa frequência,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0
112,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Consumidor ocasional,4.3,Alta frequência,Muito importante,3,1,1,Alta prioridade,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1
113,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,Menos de 1 salário mínimo,Pós-graduação incompleta,1 vez por semana,Apreciador técnico,4.3,Alta frequência,Muito importante,3,1,3,Alta prioridade,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0
114,Região Nordeste,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Ensino superior completo,1 vez por mês,Apreciador interessado,1.0,Frequência moderada,Extremamente importante,4,1,2,Potencial sustentável,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
115,Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Moderadamente importante,2,0,2,Consumidor frequente tradicional,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
116,Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,10.8,Alta frequência,Moderadamente importante,2,0,2,Consumidor frequente tradicional,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0
117,Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Profissional do setor,10.8,Alta frequência,Extremamente importante,4,1,4,Alta prioridade,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,0,1,1
118,Região Sul,Zona urbana,Acima de 55 anos,Masculino,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por mês,Apreciador interessado,1.0,Frequência moderada,Moderadamente importante,2,0,2,Baixa prioridade,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1
119,Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Apreciador interessado,0.5,Baixa frequência,Muito importante,3,1,2,Potencial sustentável,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
120,Região Sudeste,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação incompleta,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Muito importante,3,1,2,Potencial sustentável,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1
121,Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Consumidor ocasional,4.3,Alta frequência,Extremamente importante,4,1,1,Alta prioridade,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
122,Região Sudeste,Zona urbana,Acima de 55 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,De 4 a 6 vezes por semana,Apreciador interessado,21.5,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1
123,Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,De 1 a 2 salários mínimos,Ensino superior incompleto,1 vez a cada 15 dias,Apreciador técnico,2.0,Frequência moderada,Pouco importante,1,0,3,Baixa prioridade,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0
124,Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Consumidor ocasional,2.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0
125,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Consumidor ocasional,4.3,Alta frequência,Muito importante,3,1,1,Alta prioridade,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0
126,Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,De 3 a 4 salários mínimos,Ensino superior completo,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Extremamente importante,4,1,2,Potencial sustentável,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1
127,Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,De 3 a 4 salários mínimos,Ensino superior completo,Raramente,Consumidor ocasional,0.5,Baixa frequência,Muito importante,3,1,1,Potencial sustentável,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1
128,Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,De 3 a 4 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Moderadamente importante,2,0,2,Consumidor frequente tradicional,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0
129,Região Sul,Zona urbana,Acima de 55 anos,Feminino,De 5 a 6 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,0.5,Baixa frequência,Extremamente importante,4,1,1,Potencial sustentável,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0
130,Região Sul,Zona urbana,Entre 18 e 25 anos,Feminino,De 3 a 4 salários mínimos,Ensino superior incompleto,1 vez por mês,Apreciador técnico,1.0,Frequência moderada,Muito importante,3,1,3,Potencial sustentável,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0
131,Região Sul,Zona urbana,Entre 46 e 55 anos,Feminino,De 5 a 6 salários mínimos,Ensino superior completo,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1
132,Região Sul,Zona urbana,Entre 26 e 35 anos,Feminino,De 1 a 2 salários mínimos,Pós-graduação incompleta,1 vez por semana,Consumidor ocasional,4.3,Alta frequência,Extremamente importante,4,1,1,Alta prioridade,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
133,Região Sul,Zona rural,Acima de 55 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
134,Região Sudeste,Zona urbana,Entre 18 e 25 anos,Feminino,Menos de 1 salário mínimo,Pós-graduação incompleta,1 vez por mês,Consumidor ocasional,1.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0
135,Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Apreciador interessado,0.5,Baixa frequência,Pouco importante,1,0,2,Baixa prioridade,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
136,Região Sul,Zona urbana,Acima de 55 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Apreciador interessado,10.8,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1
137,Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,Menos de 1 salário mínimo,Ensino superior incompleto,1 vez por mês,Consumidor ocasional,1.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1
138,Região Sul,Zona urbana,Entre 26 e 35 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,Raramente,Consumidor ocasional,0.5,Baixa frequência,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
139,Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Extremamente importante,4,1,2,Potencial sustentável,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,1
140,Região Sul,Zona urbana,Entre 36 e 45 anos,Masculino,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,1
141,Região Sudeste,Zona urbana,Entre 36 e 45 anos,Feminino,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Muito importante,3,1,2,Potencial sustentável,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,1
142,Região Sul,Zona urbana,Entre 36 e 45 anos,Feminino,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
143,Região Sul,Zona urbana,Entre 46 e 55 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez a cada 15 dias,Apreciador interessado,2.0,Frequência moderada,Extremamente importante,4,1,2,Potencial sustentável,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,1,1
144,Região Sul,Zona urbana,Entre 18 e 25 anos,Masculino,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Extremamente importante,4,1,2,Alta prioridade,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1
145,Região Sul,Zona urbana,Acima de 55 anos,Feminino,De 5 a 6 salários mínimos,Pós-graduação completa,1 vez por semana,Apreciador interessado,4.3,Alta frequência,Muito importante,3,1,2,Alta prioridade,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,1,0
146,Região Sul,Zona urbana,Acima de 55 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,De 2 a 3 vezes por semana,Consumidor ocasional,10.8,Alta frequência,Extremamente importante,4,1,1,Alta prioridade,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1
147,Região Sul,Zona urbana,Acima de 55 anos,Masculino,De 3 a 4 salários mínimos,Pós-graduação completa,1 vez por mês,Apreciador interessado,1.0,Frequência moderada,Extremamente importante,4,1,2,Potencial sustentável,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,1,1
148,Região Sudeste,Zona urbana,Entre 46 e 55 anos,Masculino,Acima de 6 salários mínimos,Pós-graduação completa,1 vez por mês,Consumidor ocasional,1.0,Frequência moderada,Extremamente importante,4,1,1,Potencial sustentável,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1
